,期数,红球_1,红球_2,红球_3,红球_4,红球_5,红球_6,蓝球
0,24143,02,05,11,22,30,33,10
1,24142,04,06,13,21,22,25,06
2,24141,01,02,07,15,24,29,12
3,24140,04,07,08,17,22,26,15
4,24139,15,16,20,22,23,29,14
5,24138,02,07,11,21,27,28,02
6,24137,04,09,10,19,26,27,12
7,24136,03,11,15,21,25,26,03
8,24135,05,11,17,18,30,31,13
9,24134,02,04,13,16,18,20,16
10,24133,01,11,15,27,30,33,01
11,24132,01,04,25,27,28,33,03
12,24131,04,05,11,15,20,32,13
13,24130,01,08,12,17,19,24,16
14,24129,09,10,13,19,24,32,01
15,24128,01,08,13,18,20,26,16
16,24127,02,05,13,20,27,32,10
17,24126,14,18,23,24,26,33,10
18,24125,01,04,13,18,26,30,03
19,24124,02,14,15,17,25,30,11
20,24123,02,15,22,26,30,33,04
21,24122,05,07,09,16,17,29,15
22,24121,01,07,10,13,27,33,03
23,24120,01,05,07,11,18,19,07
24,24119,02,09,26,27,31,32,14
25,24118,02,03,04,06,11,15,14
26,24117,03,12,14,16,29,32,12
27,24116,01,15,20,22,31,32,03
28,24115,03,10,11,19,27,28,07
29,24114,07,11,18,24,27,32,04
30,24113,04,05,23,24,26,31,11
31,24112,08,11,16,25,29,32,03
32,24111,01,04,11,12,22,30,16
33,24110,04,13,17,23,25,33,14
34,24109,03,04,24,28,29,33,09
35,24108,01,08,09,23,24,30,08
36,24107,01,06,08,13,17,19,09
37,24106,03,08,11,22,31,33,04
38,24105,02,05,17,19,29,33,04
39,24104,05,16,23,24,26,29,04
40,24103,12,21,23,27,32,33,15
41,24102,09,15,18,21,22,25,01
42,24101,08,12,15,17,19,30,08
43,24100,13,14,19,20,27,30,05
44,24099,04,12,17,24,26,27,16
45,24098,03,08,10,20,30,31,02
46,24097,04,10,12,13,18,30,03
47,24096,02,04,14,18,23,27,13
48,24095,04,06,09,14,16,21,03
49,24094,06,13,17,22,25,27,09
50,24093,01,05,07,11,12,15,12
51,24092,03,08,11,12,18,29,05
52,24091,13,15,16,19,20,24,10
53,24090,07,11,17,24,31,32,12
54,24089,03,06,09,15,18,31,01
55,24088,03,08,10,17,30,32,10
56,24087,03,09,18,19,20,26,11
57,24086,17,19,20,23,25,31,02
58,24085,01,05,15,21,23,27,15
59,24084,01,08,10,13,19,29,13
60,24083,03,09,14,29,32,33,15
61,24082,01,02,13,16,17,29,16
62,24081,01,06,12,17,23,25,04
63,24080,06,11,12,27,29,30,13
64,24079,02,03,06,07,16,26,04
65,24078,05,09,14,21,22,26,12
66,24077,01,04,06,14,17,22,08
67,24076,03,22,24,27,29,32,15
68,24075,03,05,08,18,22,28,01
69,24074,07,08,10,22,24,32,07
70,24073,03,09,12,18,28,30,01
71,24072,01,14,20,21,23,27,06
72,24071,02,08,19,28,30,31,14
73,24070,04,13,18,20,22,28,05
74,24069,06,13,20,21,24,32,06
75,24068,01,02,07,19,20,21,01
76,24067,01,11,13,17,25,29,03
77,24066,08,09,12,22,26,32,13
78,24065,03,05,09,10,19,22,14
79,24064,06,08,17,18,28,30,05
80,24063,07,14,16,23,28,32,04
81,24062,01,07,10,16,18,27,16
82,24061,01,09,18,22,25,28,02
83,24060,01,02,06,10,22,28,15
84,24059,01,03,14,25,31,33,07
85,24058,08,12,13,17,27,29,13
86,24057,03,08,17,18,23,31,08
87,24056,05,18,20,24,25,26,06
88,24055,02,04,06,07,16,29,03
89,24054,08,13,20,25,31,32,03
90,24053,07,14,21,22,28,33,07
91,24052,07,10,11,15,17,21,03
92,24051,05,09,13,20,23,28,06
93,24050,01,03,07,10,22,33,02
94,24049,12,15,17,23,26,32,11
95,24048,02,09,15,19,26,28,02
96,24047,07,08,21,26,29,30,15
97,24046,02,06,10,11,17,29,15
98,24045,02,08,19,23,24,26,03
99,24044,02,06,17,25,32,33,06
100,24043,04,06,07,14,15,24,08
101,24042,02,04,05,14,26,32,14
102,24041,02,09,12,22,25,33,16
103,24040,11,14,18,19,23,26,02
104,24039,02,06,12,29,30,31,10
105,24038,08,10,18,23,27,31,02
106,24037,01,04,05,06,12,14,13
107,24036,02,08,09,12,21,31,02
108,24035,05,07,14,17,22,32,06
109,24034,02,09,12,19,21,31,04
110,24033,06,10,11,18,20,32,05
111,24032,01,03,04,11,12,21,16
112,24031,09,10,13,25,30,32,02
113,24030,01,08,22,25,29,33,10
114,24029,12,18,23,25,28,33,04
115,24028,03,07,08,11,18,19,05
116,24027,02,06,13,27,28,32,13
117,24026,04,07,18,19,20,25,06
118,24025,08,15,21,22,25,33,13
119,24024,03,07,21,24,26,30,10
120,24023,01,10,22,25,28,32,10
121,24022,02,09,11,14,18,26,06
122,24021,04,06,16,17,23,24,11
123,24020,03,08,12,14,17,33,08
124,24019,05,11,12,16,17,20,08
125,24018,06,15,17,24,28,29,16
126,24017,04,17,19,20,25,32,04
127,24016,07,12,20,24,32,33,04
128,24015,03,08,17,18,20,30,15
129,24014,01,02,10,22,24,25,13
130,24013,01,07,10,14,21,25,07
131,24012,01,03,07,18,22,28,15
132,24011,08,12,16,20,27,31,06
133,24010,11,16,20,21,23,24,04
134,24009,01,04,07,10,17,23,14
135,24008,08,20,21,23,27,30,13
136,24007,04,05,06,07,20,22,15
137,24006,07,18,20,21,26,32,05
138,24005,05,06,20,23,25,32,03
139,24004,09,13,17,18,21,27,04
140,24003,01,05,08,13,32,33,03
141,24002,04,09,10,17,19,20,09
142,24001,03,07,16,26,27,32,16
143,23151,01,15,16,20,25,27,05
144,23150,10,17,25,26,30,33,05
145,23149,02,10,19,24,26,33,15
146,23148,03,05,07,09,19,20,08
147,23147,05,06,14,16,19,32,12
148,23146,02,03,06,11,20,32,09
149,23145,07,10,21,22,23,24,11
150,23144,12,16,17,22,25,27,08
151,23143,05,07,09,16,23,30,15
152,23142,02,08,20,21,27,33,14
153,23141,01,08,11,12,21,23,03
154,23140,03,04,11,14,30,31,05
155,23139,12,14,19,21,27,31,11
156,23138,03,22,28,30,31,33,04
157,23137,03,12,17,19,23,27,11
158,23136,03,05,10,21,22,26,10
159,23135,05,06,11,13,28,30,07
160,23134,05,08,09,17,22,33,04
161,23133,04,05,10,14,22,25,03
162,23132,03,09,11,15,25,27,01
163,23131,06,07,14,20,26,32,01
164,23130,04,10,17,22,23,32,16
165,23129,08,09,12,17,32,33,04
166,23128,07,16,20,21,27,33,01
167,23127,03,08,19,22,26,32,14
168,23126,10,24,26,28,29,31,16
169,23125,11,14,15,27,30,33,04
170,23124,02,03,17,18,25,30,11
171,23123,10,13,15,22,29,32,15
172,23122,07,08,14,18,20,30,05
173,23121,02,12,16,25,30,31,12
174,23120,03,08,13,24,27,29,08
175,23119,01,02,03,19,21,28,15
176,23118,01,02,11,19,25,29,04
